doc_std_name;NumberOfPatentApplications
KIM JIN WOONG;2352
ZHANG WENJIE;2351
DER ERFINDER WIRD NACHTRAEGLICH BENANNT;2350
TANAKA MASAYUKI;2350
CAO FENG;2350
LI TINGTING;2350
LIU HAIYAN;2349
TANG JING;2349
CNPC BOHAI DRILLING ENG CO LTD;2349
IOKI SADAO;2349
MA FEI;2348
MIZUNO KK;2347
XU WEN;2347
CAO YI;2347
LEO PHARM PROD LTD;2345
ROSEN CRAIG A;2345
RUE DE INT LTD;2345
NISCA CORP;2344
ZHONG WEI;2344
MAEKAWA SEISAKUSHO KK;2344
LIU WENBIN;2344
ZHENG LI;2344
MIDLAND ROSS CORP;2343
UNIV XI AN SCI & TECHNOLOGY;2343
JUNG EDWARD K Y;2343
KATO TAKAYUKI;2342
ZHANG ZHIHUI;2342
GRAMMENOS WASSILIOS;2342
WANG YANFENG;2342
TOA GOSEI CHEM IND;2341
SAITO KENJI;2339
SATO YASUSHI;2339
WANG LINA;2338
KAISER ALUMINIUM CHEM CORP;2338
NAKAJIMA TAKASHI;2337
NIIYAMA KICHIHEI;2335
TANAKA TOSHIYUKI;2334
YAMAMOTO OSAMU;2334
SHENZHEN HUAXING OPTOELECT TEC;2334
LIU JINHUA;2334
YOSHIDA AKIRA;2333
KNORR BREMSE SYSTEME FUER NUTZFAHRZEUGE GMBH;2333
LIANG YONG;2333
XIAO PENG;2332
TAKAHASHI TOSHIO;2332
BUEHLER AG;2332
BECKMAN COULTER INC;2332
YAN BO;2331
ABE TAKASHI;2331
WU JIANFENG;2331
ZHANG HAIBIN;2330
JIANGSU MARITIME INST;2329
LANXIDE TECHNOLOGY CO LTD;2329
WU JIANHUA;2328
ELECTROLUX APPLIANCES AB;2328
WANG DONGDONG;2328
ROCKWELL COLLINS INC;2327
HOOVER LTD;2327
YAN BIN;2327
HAN YI;2327
GUANGZHOU SHIRUI ELEC TECH CO;2327
ELWHA LLC;2326
MEDIMMUNE LLC;2326
WEI BIN;2325
CHEN HONGWEI;2325
BAYER MATERIALSCIENCE LLC;2325
TADANO LTD;2325
SCHOTT GLAS;2325
ALSACIENNE CONSTR MECA;2324
CH POLT I;2324
ZHOU QIAN;2323
SATO YUJI;2323
RICOH ELEMEX CORP;2323
WU TONG;2323
JIA WEI;2323
WEI GANG;2322
ZHU HUA;2322
FAN JUN;2322
SHI JIE;2322
YAMADA YUTAKA;2322
NISSEI PLASTICS IND CO;2322
CHERIAN GEORGE;2322
XU YU;2322
XIAO LI;2321
HITACHI BUILDING SYST ENG;2321
HASEGAWA TAKASHI;2320
GOLD STAR ELECTRONICS;2320
KLOECKNER WERKE AG;2319
SASAKI AKIRA;2317
DEPUY PRODUCTS INC;2316
DENG LI;2315
ZHENG TAO;2315
DUPHAR INT RES;2315
SIEMENS HEALTHCARE DIAGNOSTICS;2315
KISSEI PHARMACEUTICAL;2314
MA YING;2314
KIM YOUNG JIN;2313
CAMBRIDGE DISPLAY TECH LTD;2313
TIGER VACUUM BOTTLE CO LTD;2313
TAMPELLA OY AB;2312
CSELT CENTRO STUDI LAB TELECOM;2312
LIU XIAOPING;2311
CHEN KANG;2310
WU ZHEN;2310
FESTO AG & CO KG;2310
AMERICAN VISCOSE CORP;2310
XU XIAOMING;2309
CHEN BIAO;2309
HAN SEUNG HEE;2308
HE BO;2307
NHN CORP;2307
KUMHO TIRE CO INC;2306
ERDELEN CHRISTOPH;2306
KOBAYASHI NAOKI;2306
NARI RELAYS ELECTRIC CO LTD;2306
MUELLER ULRICH;2305
SILTRONIC AG;2304
ELECTRIC POWER RES INST OF STATE GRID SHANDONG ELECTRIC POWER CO;2304
ASHIMORI IND CO LTD;2303
TANG TAO;2303
MASCHINENFABRIK OERLIKON;2302
NEC ACCESS TECHNICA LTD;2302
OPTREX KK;2300
ZHANG QUN;2300
FAN YONG;2300
ITO DAISUKE;2300
SUZHOU INSPUR INTELLIGENT TECH CO LTD;2299
DONG HUI;2299
QIAN FENG;2299
HAYASHI HIDEKI;2299
IVE JONATHAN P;2298
YU CHAO;2298
LIU JUNFENG;2297
HOLLISTER INC;2297
IMMUNEX CORP;2297
BIERINGER HERMANN;2297
STIHL AG & CO KG ANDREAS;2297
MAN NUTZFAHRZEUGE AG;2296
YANG HONGWEI;2296
LUOYANG INST SCIENCE & TECHNOLOGY;2295
HITACHI VLSI ENG;2295
BOSCH ROBERT;2295
WU BING;2294
SUZUKI MASATO;2294
LIN HAI;2293
LOEWE OPTA GMBH;2293
ZHANG HAIYANG;2293
XUZHOU HEAVY MACHINERY CO LTD;2293
CHUGAI RO KOGYO KAISHA LTD;2292
KARLSRUHE FORSCHZENT;2292
UNIV WUHAN POLYTECHNIC;2291
ZHAO MENG;2291
YAMAMOTO YASUHIRO;2291
VICTAULIC CO OF AMERICA;2291
LIU XIAOLI;2291
WANG SHAOHUA;2290
CLAAS SELBSTFAHR ERNTEMASCH;2288
SINOPEC SHANGHAI RES INSTF PETROCHEMICAL TECH;2288
TAKAHASHI NAOKI;2286
HAN JING;2285
SHENZHEN YIHUA COMPUTER CO LTD;2284
CHINA MOBILE COMMUNICATIONS GROUP CO LTD;2283
ICI AUSTRALIA LTD;2283
YAMADA SHOHEI;2282
HU XIN;2282
YUAN LI;2282
AUTOLIV ASP INC;2282
WEI CHAO;2281
LI WANG;2281
MURAKAMI HIROSHI;2280
SCM CORP;2280
ANHUI ANKAI AUTOMOBILE CO LTD;2279
CALGON CORP;2279
COMBA TELECOM SYS CHINA CO LTD;2279
DING YU;2279
HITACHI KIDEN KOGYO KK;2279
SATO HITOSHI;2278
KATO YOSHIAKI;2278
WATANABE TOSHIO;2278
JIN JIAN;2277
UNIV CARNEGIE MELLON;2277
WEI WANG;2277
ZHANG XIONG;2277
SACMI;2276
BRIGGS & STRATTON CORP;2275
FUJI KIKO KK;2275
NEC SHIZUOKA LTD;2275
UNIV MCGILL;2275
NORTHROP GRUMMAN SYSTEMS CORP;2275
SUZUKI YUTAKA;2275
ZHENG XIAODONG;2275
CHINA XD ELECTRIC CO LTD;2275
AGFA GEVAERT;2274
BRANDES WILHELM;2274
KIM MIN SOO;2274
ISP INVESTMENTS INC;2273
KAWAKAMI HIROSHI;2273
UCL BUSINESS PLC;2273
SAITO KAZUO;2272
WOLFEN FILMFAB VEB;2272
HE YUAN;2272
LIU FAN;2272
DAINIPPON PHARMACEUTICAL CO;2271
BOOTS CO PLC;2271
COMMERCIAL SOLVENTS CORP;2271
EICKHOFF GEB;2270
UNIV ZHONGYUAN TECHNOLOGY;2269
ABE HIROYUKI;2269
KIM HYUN SOO;2269
CHEN JIANG;2269
YOSHIDA OSAMU;2268
CAI ZHIJUN;2268
SEIKO PRECISION KK;2267
LI XIAOGANG;2267
WANG KUI;2266
PIRELLI CAVI SPA;2266
YANG XING;2266
TAKAHASHI MINORU;2265
CISDI ENG CO LTD;2265
YOKOTA HIROSHI;2265
LU CHAO;2265
HUGHES ELECTRONICS CORP;2264
YU KAI;2263
ZHANG SEN;2263
INTERVET INT BV;2263
ＫＤＤＩ株式会社;2262
MO OCH DOMSJOE AB;2261
ZHOU DONG;2261
FENG CHAO;2261
STATE GRID FUJIAN ELECTRIC POWER CO;2261
HAN YONG;2260
SHIMIZU YASUO;2260
MERLIN SIMONE;2259
LUO GANG;2258
LI JIANHUI;2258
LIANG YAN;2257
LIU XUE;2257
SUZUKI NOBUO;2257
YAN TAO;2255
XUJI GROUP CO LTD;2254
TECH RESOURCES PTY LTD;2254
SUN JIANHUA;2253
INST ELECTRICAL ENG CAS;2253
LIU ZHENYU;2253
YAO BIN;2252
LI JIANZHONG;2252
NAT OILWELL VARCO LP;2252
TAKAHASHI MASAYUKI;2252
HITACHI SEIKO KK;2251
KONDO SATOSHI;2251
LIU JUNJIE;2251
SUZUKI KATSUMI;2250
YAMAGUCHI ATSUSHI;2250
ANDRITZ AG MASCHF;2249
LIANG HUI;2249
KIM JONG HO;2249
UNIV WASEDA;2248
WANG SHAN;2248
KIM JIN YOUNG;2248
STAR MFG CO;2247
CHEN CHONG;2247
MERCK AG E;2247
MERGENTHALER LINOTYPE GMBH;2245
BOMBARDELLI EZIO;2245
IMMATICS BIOTECHNOLOGIES GMBH;2244
XIONG KAIFU;2243
ZHAO NA;2243
TOTAL SA;2242
WANG WEIGUO;2242
ZHANG WENTAO;2242
KLEIN CHRISTIAN;2242
WANG AIMIN;2242
LIU HU;2241
SANWA SHUTTER CORP;2241
INT COMPUTERS LTD;2241
YANG SHENG;2240
SIGNIFY HOLDING BV;2240
IG TECH RES INC;2240
DOOSAN HEAVY IND & CONSTRUCTION CO LTD;2239
PAN JIE;2239
CHEN XIAOBO;2238
DONG LI;2238
LI XUEMEI;2238
FUJI CORP;2238
HALCON INTERNATIONAL INC;2238
CHEN JUNJIE;2237
PARK JAE HYUN;2237
AVON PROD INC;2237
CHOI JIN SOO;2237
WENZHOU VOCATIONAL & TECHNICAL COLLEGE;2237
XU JIANJUN;2237
SHEN HONG;2237
YE FENG;2236
MEDOFF MARSHALL;2236
LI MIAO;2236
SUZUKI TOSHIAKI;2235
GUILLAUME AURELIE;2235
AGERE SYSTEMS INC;2234
JAPAN VILENE CO LTD;2234
WANG XUEJUN;2234
NAT STARCH CHEM CORP;2234
UNIV SHINSHU;2233
KIKUCHI HIROSHI;2233
OKUMURA CORP;2233
ST JUDE MEDICAL;2233
PETROLITE CORP;2233
YOKOGAWA MEDICAL SYST;2233
HUANG SHENG;2232
HU FEI;2232
KYOKUTO KAIHATSU KOGYO CO;2231
HUNTER DOUGLAS;2231
SUN BING;2231
SHENZHEN POLYTECHNIC;2230
ZENG YONG;2230
CHEN NAN;2230
WANG YUNFENG;2230
ZENG HUI;2230
UNIV WUYI;2228
OHARA KK;2228
SUZUKI AKIO;2228
HUIZHOU TCL MOBILE COMMUNICATION CO LTD;2227
KODAK AG;2227
CHEN HUAN;2227
LIU HONGJUN;2227
FAIRCHILD CAMERA INSTR CO;2227
TECUMSEH PRODUCTS CO;2226
ZHANG MINGMING;2225
TANG MING;2225
WEIPING HE;2225
XU HONGWEI;2224
SUZUKI YASUYUKI;2224
KRAFT FOODS R & D INC;2224
KIM JAE HYUN;2223
LIU XIAOLONG;2223
CHONGQING RUNZE PHARMACEUTICAL;2223
BOECKING FRIEDRICH;2223
NAKAMURA KAZUO;2223
TAKAHASHI NOBUYUKI;2223
ZHENG BIN;2223
UNIV FUJIAN AGRIC & FORESTRY;2222
WARE PAUL;2222
YE JIAN;2222
ALTANA PHARMA AG;2222
PALOMA KOGYO KK;2222
MANDO MACHINE CO LTD;2222
ZHU KAI;2222
SATO YUICHI;2222
UNIV SUNGKYUNKWAN RES & BUS;2221
YAMAMOTO NAOKI;2221
SUED CHEMIE AG;2221
DONG JUN;2221
VOLVO TRUCK CORP;2220
UNIV SUNGKYUNKWAN FOUND;2220
HITACHI ULSI SYS CO LTD;2220
IHARA CHEMICAL IND CO;2219
SHIMIZU TAKESHI;2219
WANG JINFENG;2219
KATO KOJI;2219
KOBAYASHI KENICHI;2218
SANDIA CORP;2218
LEE JAE HO;2218
GUO HONG;2218
LU FEI;2218
WOLFF WALSRODE AG;2217
TAIYO NIPPON SANSO CORP;2217
UNIV ALBERTA;2216
YANG LONG;2216
FUJII HIROSHI;2216
WOLVERINE WORLD WIDE INC;2216
XIAO BO;2215
SUZUKI MASAHIKO;2215
ZHANG ZHIYUAN;2215
ZHAO JIN;2215
HITACHI AUTOMOTIVE ENG;2214
NAKANO TAKASHI;2214
WANG ZHIHONG;2214
SONOCO DEV INC;2214
UNIV COLORADO REGENTS;2213
UNIV COLORADO;2213
RICHARD JENKIN A;2213
WU XIAOMING;2213
QINGDAO HAIER DRUM WASHING MACHINE CO LTD;2212
HIMAX TECH LTD;2212
CAREFUSION 303 INC;2211
ZHOU XUAN;2211
HANSA METALLWERKE AG;2211
FENG YI;2211
NIPPON ELECTRON OPTICS LAB;2210
JUNKERS & CO;2210
3COM CORP;2209
HE CHAO;2208
LI YUFENG;2208
SHAO WEI;2208
ITT IND GMBH DEUTSCHE;2207
LINDOFF BENGT;2207
NAKAMURA MINORU;2207
NAKAMURA TSUTOMU;2207
LI ZHIGUO;2207
LIN JING;2206
ASIA OPTICAL CO INC;2205
VANGUARD INT SEMICONDUCT CORP;2205
BULL SA;2205
STUDIENGESELLSCHAFT KOHLE MBH;2204
GAZ DE FRANCE;2204
RUHRKOHLE AG;2204
CUTLER HAMMER INC;2203
MICROBIAL CHEM RES FOUND;2203
PAN JUN;2202
YU LIANG;2201
WANG ZHIYUAN;2201
HARADA TAKASHI;2201
GONG WEI;2201
EBAUCHESFABRIK ETA AG;2201
NIIGATA ENGINEERING CO LTD;2200
AVCO CORP;2200
NISHIMURA TAKASHI;2199
MOULINEX SA;2199
YUAN JIE;2198
NAKAYAMA HIROSHI;2198
TANAKA NOBUYUKI;2198
CAO LIANG;2197
GEVAERT PHOTO PROD NV;2196
LI KUI;2196
LELY CORNELIS VAN DER;2194
CONSTR RES & TECH GMBH;2194
CAO BIN;2194
POSITEC POWER TOOLS SUZHOU CO;2193
OTICON AS;2193
NUCLEAR POWER INST CHINA;2193
MATSUMOTO KOJI;2193
ZHANG YONGQIANG;2192
CORONA CORP;2192
UNIV WUHAN TEXTILE;2192
KIM SUNG MIN;2191
ZHANG SHU;2191
BIOMERIEUX SA;2190
NORTH CHINA ELECTRIC POWER UNIV BAODING;2190
ZHENG GANG;2190
GUANGDONG ESQUEL TEXTILES CO;2190
ZHOU CHENG;2190
TAKAHASHI EIJI;2190
WANG SHU;2190
MITSUBISHI ENG PLASTICS CORP;2188
ALCATEL SA;2188
GUTEHOFFNUNGSHUETTE STERKRADE;2188
KOBAYASHI HIDEKI;2187
TODA CONSTRUCTION;2187
G C DENTAL IND CORP;2186
PARK SUNG JUN;2186
UNIV EWHA IND COLLABORATION;2186
FRITO LAY NORTH AMERICA INC;2185
GE HEALTHCARE BIO SCIENCES AB;2185
BRITISH GAS PLC;2185
UNIV PARIS CURIE;2185
LI HONGYU;2184
LI YONGGANG;2184
ZHANG XIAOFEI;2183
UNIV HUBEI;2183
SHENZHEN TINNO WIRELESS TECH CO LTD;2183
BRUECK ROLF;2183
SAITO KOJI;2182
SU JIAN;2182
ITO KENICHI;2182
BEIJING ELECTRIC VEHICLE CO LTD;2182
STATE GRID XINYUAN COMPANY LTD;2181
NAKAGAWA AKIRA;2181
HU LEI;2181
GUO LIN;2181
CHEN ZHIMING;2181
YULONG COMPUTER TELECOMM TECH;2180
ZHENG BO;2180
NEC LAB AMERICA INC;2180
XU XIAO;2180
LI XIAOQIANG;2180
CHEN XIAOGANG;2180
JAPAN NATIONAL RAILWAY;2179
LAROIA RAJIV;2179
TANAKA MASAHIRO;2179
NIPPON ESTER CO LTD;2178
MA XIAO;2178
PENG CHENG;2178
INTERCONTINENTAL GREAT BRANDS LLC;2177
LI SHAN;2177
VOITH TURBO KG;2177
WATANABE HITOSHI;2176
XU JIANGUO;2176
HAN PENG;2176
GUO JIE;2176
KIM TAE HOON;2176
FOSTER WHEELER CORP;2176
TAO JUN;2175
WANG LIHUI;2175
COMBA TELECOM TECH GUANGZHOU;2175
UNIV GUILIN TECH GUT;2174
HITACHI HOME TEC LTD;2173
HATAKEYAMA JUN;2173
LIU GUOQING;2173
JAPAN ELECTRONIC CONTROL SYST;2172
ABE KOJI;2172
MILLIKEN RES CORP;2172
WU XIAO;2172
MIWA LOCK KK;2172
WU HUA;2170
CHEN SHUO;2168
LI YUNFENG;2168
FAN LEI;2168
MINE SAFETY APPLIANCES CO;2168
OLYMPIA WERKE AG;2168
UEDA KENJI;2167
UFIMSK AVIATSION INST;2167
KIMURA MASAHIRO;2167
WANG HONGSHENG;2167
NAT UNIV GYEONGSANG IACF;2165
SONY UK LTD;2165
HUANG RONG;2165
WU XIANG;2165
QINGDAO HISENSE ELECTRIC CO;2164
ZENG YUANQING;2164
LIN HAO;2164
SAINT GOBAIN PERFORMANCE PLAST;2163
TAKAHASHI MASAKI;2162
OPPLE LIGHTING CO LTD;2162
ZENG LI;2161
NACHI FUJIKOSHI CORP;2160
ORACLE AMERICA INC;2160
MITSUBISHI FUSO TRUCK & BUS;2159
ORDOS YUANSHENG OPTOELECTRONICS CO LTD;2159
HE HUI;2159
CHENG YONG;2159
HAN JIE;2158
SHI YANG;2158
AUDIO TECHNICA KK;2158
CH AUTO TECHNOLOGY CO LTD;2157
FUTAIHUA IND SHENZHEN CO LTD;2156
MITSUBISHI ELECTRIC ENG;2156
CHEN SHAOJIE;2156
MATSUMOTO ATSUSHI;2156
HECKLER & KOCH GMBH;2156
YE WEI;2155
KYUNGPOOK NAT UNIV IND ACADEMIC COOP FOUND;2155
AMERICAN HOSPITAL SUPPLY CORP;2154
ZHANG JINLONG;2154
UNIV QIQIHAR;2154
ROCHE DIAGNOSTICS OPERATIONS;2153
ZHANG PEI;2153
UNIV HENAN AGRICULTURAL;2153
INCYTE PHARMA INC;2153
CHINA INST ATOMIC ENERGY;2153
THOMAS & BETTS INT;2152
WANG XIAN;2152
SMITH VICTORIA;2152
WANG WENTAO;2152
GORE ENTERPRISE HOLDINGS INC;2151
ZHANG XIAOLEI;2151
DAIKOKU DENKI KK;2151
BALLY GAMING INC;2150
WANG XIAOLIANG;2149
CHENG JIAN;2149
LU HUI;2149
MOCHIDA PHARM CO LTD;2149
KIM DONG SOO;2148
KRAFT FOODS HOLDINGS INC;2148
ITO OSAMU;2148
AKAD GORNICZO HUTNICZA;2147
TRUKING TECHNOLOGY LTD;2147
HU HUI;2147
KONICA MINOLTA PHOTO IMAGING;2146
CUMMINS INC;2146
OTTO & CO GMBH DR C;2146
LE HOLDINGS (BEIJING) CO LTD;2146
CHIMEI INNOLUX CORP;2146
ZOJIRUSHI CORP;2146
FESTO AG & CO;2145
UNION SPECIAL MACHINE CO;2145
JIN FENG;2144
LI XUEJUN;2144
ATLAS COPCO AIRPOWER NV;2144
ZHOU JIANJUN;2143
GUANGZHOU CVTE ELECTRONIC TECH;2143
LIU ZHIGUO;2143
LI GUOHUA;2143
COVIDIEN AG;2142
MEDIATEK SINGAPORE PTE LTD;2142
HAN BO;2142
LI YA;2142
SAITO YUTAKA;2141
ZHAO XIAODONG;2141
INST METAL RES CHINESE ACAD SC;2141
YAN HUI;2141
TOYO ENGINEERING CORP;2141
UNIV CHANGSHA SCIENCE;2141
JIN YI;2140
LIU LONG;2140
NUANCE COMMUNICATIONS INC;2140
SHI BIN;2139
LI WEIPING;2139
KOBAYASHI MASAKI;2139
LIN XIAOFA;2139
BRITISH OXYGEN CO LTD;2139
NICHICON CORP;2138
YANG WEIMIN;2138
MTU AERO ENGINES AG;2138
FENG HAO;2138
WANG GUOHUA;2137
SATO TAKAHIRO;2137
KUGELFISCHER G SCHAEFER & CO;2137
WANG XIAOQING;2137
NTT DATA CORP;2137
WANG WEIPING;2137
SHANGHAI INST MICROSYS & INF;2137
SATO HIROAKI;2136
KOBAYASHI OSAMU;2136
LEE JONG HO;2136
SIR SOC ITALIANA RESINE SPA;2136
UNIV VIRGINIA;2136
GLAXOSMITHKLINE IP DEV LTD;2136
INA SCHAEFFLER KG;2135
YANG LIJUN;2134
CHINA UNIONPAY CO LTD;2134
WESTVACO CORP;2134
WANG LIHONG;2134
MEADWESTVACO PACKAGING SYSTEMS;2134
LEVITON MANUFACTURING CO;2134
LIU GUOQIANG;2134
WU JIANZHONG;2133
MAXIM INTEGRATED PRODUCTS;2133
MATSUMOTO AKIRA;2133
GUO QI;2132
YUAN HUI;2132
WANG CHUNHUA;2132
VETCO GRAY INC;2132
ZHANG LIBIN;2132
WAGNER ELECTRIC CORP;2131
CHINA FAW GROUP CORP;2131
LEE JAE YOUNG;2130
YANG RONG;2129
SUN RUI;2128
YAN PING;2128
UNIV DELFT TECH;2128
ZHANG HONGMEI;2128
CHENG MING;2128
ZHAO NING;2128
DRAPER LAB CHARLES S;2127
YAMAMOTO YASUSHI;2127
POWERCHINA GUIYANG ENGINEERING CORP LTD;2126
FANG YONG;2126
SAMSUNG MEDISON CO LTD;2126
BAI YU;2126
KRONE AG;2126
LU HAO;2126
TEXAS CO;2126
CURTISS WRIGHT CORP;2125
GUO QING;2125
FENG JIAN;2125
GIAT IND SA;2125
WATANABE YOSHIO;2124
UNIV NIHON;2124
THYSSENKRUPP IND SOLUTIONS AG;2124
ARENA PHARM INC;2124
SINOPEC OILFIELD SERVICE CORP;2123
WATANABE TETSUYA;2123
ACADEMIA SINICA;2122
YOSHIDA TAKEHIRO;2121
WANG YUJIE;2121
YANG TING;2121
TOHOKU ELECTRIC POWER CO;2121
SAGEM DEFENSE SECURITE;2121
SAMSUNG DISPLAY DEVICES CO LTD;2120
BALL CORP;2119
CHEN LAN;2119
KOBAYASHI NOBUYUKI;2119
WU DONG;2118
ZHU QIANG;2118
WINCOR NIXDORF INT GMBH;2118
ZHAO CHAO;2117
HAZAMA GUMI;2117
LEGRAND SA;2117
YAMAMOTO MAKOTO;2116
SPRINT SPECTRUM LP;2116
YI YUNJUNG;2116
CHARBONNAGES STE CHIMIQUE;2116
ASAHI KASEI E MATERIALS CORP;2116
CHEN XUEFENG;2116
ALPHA CORP;2115
US GOV SEC NAVY;2115
MKS INSTR INC;2115
ZHANG YANPING;2115
SHEN YU;2115
LI GUOLIANG;2114
PAN LEI;2114
INOUE ATSUSHI;2114
SUZUKI SHINJI;2114
SATO YOSHIHIRO;2114
TANG YING;2114
SUZUKI TETSUO;2114
WEST CHINA HOSPITAL SICHUAN UNIV;2114
THOMPSON WILLIAM PHILLIPS;2112
TOSHIBA CARRIER CORP;2112
HARISON TOSHIBA LIGHTING CORP;2112
SUN NING;2112
ＨＯＹＡ株式会社;2112
FAN LI;2111
SIEMENS AG OESTERREICH;2111
BOS GMBH;2109
UNIV CLAUDE BERNARD LYON;2109
SHENZHEN ROYOLE TECHNOLOGIES CO LTD;2109
OKAMOTO KENJI;2108
MITSUI HIGH TEC;2107
SAKAI CHEMICAL INDUSTRY CO;2107
YAMADA MINORU;2107
WISTRON NEWEB CORP;2106
LI XUDONG;2105
DING HUI;2105
VON ROLL AG;2105
HEHL KARL;2104
TEIJIN SEIKI CO LTD;2104
HU YING;2104
SHOWA HIGHPOLYMER;2104
JIANGSU HENGRUI MEDICINE CO;2104
TOYO ALUMINIUM KK;2104
THAELMANN SCHWERMASCHBAU VEB;2103
ANELVA CORP;2103
ONO TAKESHI;2103
INSPUR GROUP CO LTD;2103
LIANG XIAO;2103
TANG YU;2102
YAMAMOTO HIROKI;2101
CANON ANELVA CORP;2100
BELL TELEPHONE MFG;2100
CUMMINS ENGINE CO INC;2100
WIELAND WERKE AG;2099
SCHMIDT ANDREAS;2099
LI XIAOLI;2099
ZEISS CARL JENA GMBH;2098
WU RUI;2098
WU JIANMING;2098
SMITHKLINE CORP;2098
HE YANG;2098
CHEN JIANLE;2098
BAXTER LABORATORIES INC;2098
KATO SHINJI;2098
YANG DAN;2097
SUN QIAN;2097
ZHAO LIJUN;2097
UNIV HEBEI AGRICULTURE;2097
UNIV QINGHUA;2096
SEPRACOR INC;2096
DORSCH DIETER;2096
YU FANG;2094
SAMPATH HEMANTH;2094
LIU HANG;2093
GRACO MINNESOTA INC;2093
FENG JING;2092
LIANG TAO;2092
EXELIXIS INC;2091
UNIV GUANGXI NORMAL;2091
PULLMAN INC;2091
ASAHI KASEI DENSHI KK;2091
LIU HONGLIANG;2091
ITE CIRCUIT BREAKER LTD;2090
LS CABLE LTD;2090
MITSUBISHI ELECTRIC RES LAB;2090
SUN LIJUN;2089
SHI LIANG;2089
CHUNG JAE HOON;2089
CHEN HAIBO;2088
XIE YU;2088
YU QING;2088
ZHANG GUOJUN;2088
KATO MAKOTO;2088
FLAEKT AB;2087
METAL BOX CO LTD;2086
ZHANG XIAOHUA;2086
GANE PATRICK A C;2086
STOCKHAUSEN CHEM FAB GMBH;2086
HAYASHI KOJI;2086
KIMURA KENJI;2086
CUI JIAN;2085
LI WENFENG;2085
LU MIN;2084
NL INDUSTRIES INC;2084
LEICA GEOSYSTEMS AG;2083
CHEN GUODONG;2083
YANG LIPING;2083
BERTIN & CIE;2082
OKADA TOMOYUKI;2082
DORR OLIVER INC;2081
LI XIAOPENG;2081
HU QIANG;2081
ARMCO STEEL CORP;2081
ZHOU DAN;2080
GERVAIS DANONE SA;2080
LIN PENG;2079
UNIV INDIANA RES & TECH CORP;2079
ZHANG WEIGUO;2079
UNIV JIANGHAN;2078
FEI CO;2077
ZHENG QIANG;2077
ZHANG LIMIN;2077
ZHANG MINGLIANG;2076
QIU ZEYOU;2076
LI ZHIYUAN;2076
BOBST SA;2076
RHYTHM WATCH CO;2075
UNIV LANZHOU JIAOTONG;2075
ITO YUJI;2075
TIAN LEI;2074
KIENZLE APPARATE GMBH;2074
TAKIGEN MFG CO;2074
YOSHIDA KAZUHIRO;2074
WANG WEIFENG;2073
MURAKAMI YUTAKA;2073
NAKAMURA TADASHI;2071
ADVANCED OPTOELECTRONIC TECH;2071
SCHNEIDER ELECTRIC SA;2071
KIM SUNG HOON;2071
BRITISH BROADCASTING CORP;2071
ZHANG WEIFENG;2071
KAWAMURA HIDEO;2071
WANG JIANBO;2071
ZHENG CHAO;2070
SARNOFF CORP;2070
LI XIANGDONG;2070
WU QIAN;2070
XIE TAO;2069
KOREA INST CERAMIC ENG & TECH;2069
COCHLEAR LTD;2069
UNITED CARR FASTENER CORP;2069
UNIV XIJING;2069
KIM YONG HO;2069
UNIV JIANGXI SCI & TECHNOLOGY;2068
ZEISS CARL;2067
REPUBLIC KOREA MAN RURAL DEV ADMIN;2067
NAKAMURA JUNICHI;2066
LIU LIMING;2066
DONG LIANG;2066
HAESSLE AB;2065
YAMAMOTO SHINYA;2064
YAO JIAN;2064
DENG YONG;2063
AGRAWAL AVNEESH;2063
TRIDONIC GMBH & CO KG;2063
CIPLA LTD;2063
CHEN CONG;2063
TAKAHASHI AKIO;2062
UNIV JISHOU;2062
UNIV HUNAN SCIENCE & TECHNOLOGY;2062
NAKAMURA TORU;2061
SEPARATOR AB;2060
ZHANG HONGYUAN;2060
BEHR GMBH & CO;2060
KOBAYASHI YOSHIYUKI;2060
TAKAHASHI HIDEKI;2060
WANG GUOLIANG;2059
NAKAMURA KENICHI;2059
CANADIAN PATENTS DEV;2059
CHINA MCC20 GROUP CORP LTD;2059
WATANABE COLIN K;2058
WATANABE KIYOSHI;2058
WANG LINLIN;2058
NIPPON PISTON RING CO LTD;2058
HUANG XIAODONG;2058
HORN GAVIN BERNARD;2058
LIU XIAOHUA;2057
DE BEERS IND DIAMOND;2057
BAI JIE;2056
HUANG XING;2055
FOSHAN SHUNDE MIDEA ELECTRICAL HEATING APPLIANCES;2055
RUD KETTEN RIEGER & DIETZ;2055
KIM DONG WON;2054
CA ATOMIC ENERGY LTD;2054
EUROCOPTER FRANCE;2054
YANG XIAOMING;2054
SHINKAWA KK;2054
UNIV BRUXELLES;2053
ILFORD LTD;2052
SATO MINORU;2052
ZHANG JUNWEI;2052
MURAKAMI TAKESHI;2051
WALTER HELMUT;2051
RICHARDSON MERRELL INC;2051
BEIJING DIDI INFINITY TECHNOLOGY & DEV CO LTD;2051
LI WEIMING;2050
INOUE MAKOTO;2050
YANG ZHIGANG;2050
FERRO CORP;2049
QUAN WEI;2049
ZHANG TIAN;2049
LI LILI;2049
LUO YAN;2049
KATO KIYOSHI;2049
JIN YAN;2049
UNIV SOGANG IND UNIV COOP FOUN;2048
ZHAO XIA;2048
4TH MILITARY MEDICAL UNIV CHINESE PLA;2047
LI GEN;2047
SHANGHAI FEIXUN COMMUNICATION CO LTD;2046
AEROJET GENERAL CO;2046
LIU HE;2046
YANG JIANGUO;2045
